Away ,Home,away_score,home_score,time
Appalachian St.,La.-Lafayette,24,0,Final
Navy,East Carolina,,,postponed
Duke,Louisville,14,24,Final
Memphis,Tulane,24,14,Final
San Diego State,Fresno State,17,3,Final
MISSST,BYU,21,28,Final (2OT)
Alabama,Tennessee,49,10,Final
OHIOST,WISC,30,23,Final (OT)
NC ST,CLEM,17,24,Final (OT)
Nebraska,Indiana,27,22,Final
Kansas,Baylor,7,49,Final
Mississippi,Arkansas,30,34,Final
Tulsa,Houston,31,38,Final
Wake Forest,Florida State,6,17,Final
Colorado State,Boise State,23,28,Final
North Carolina,Miami (Fla.),20,13,Final
Virginia Tech,Syracuse,17,31,Final
Missouri,Florida,14,40,Final
Kansas State,Oklahoma,17,38,Final
West Virginia,Texas Tech,48,17,Final
Utah,Oregon State,19,14,Final
Western Mich.,Akron,41,0,Final
UNLV,Hawaii,41,38,Final
Illinois,Rutgers,24,7,Final
Lafayette,Army West Point,7,62,Final
Minnesota,Maryland,31,10,Final
Vanderbilt,Georgia,17,16,Final
Iowa,Purdue,49,35,Final
Ga. Southern,Georgia Tech,24,35,Final
Pittsburgh,Virginia,45,31,Final
Coastal Caro.,Gardner-Webb,17,7,Final
Eastern Mich.,Ohio,27,20,Final
Kent State,Miami (Ohio),14,18,Final
W KY,MIDTEN,44,43,Final (2OT)
Georgia State,Troy,21,31,Final
Louisiana Tech,Massachusetts,56,28,Final
Northwestern,Michigan State,54,40,Final
Air Force,New Mexico,40,45,Final
Bowling Green,Toledo,35,42,Final
USC,Arizona,48,14,Final
C MICH,NIU,34,28,Final (3OT)
Ball State,Buffalo,31,21,Final
New Mexico St.,Idaho,23,55,Final
FIU,Charlotte,27,26,Final
Texas State,La.-Monroe,34,40,Final
Iowa State,Texas,6,27,Final
Florida Atlantic,Marshall,21,27,Final
South Alabama,Arkansas State,7,17,Final
Connecticut,South Florida,27,42,Final
UTSA,Rice,14,13,Final
Southern Miss,LSU,10,45,Final
Stanford,Notre Dame,17,10,Final
Temple,UCF,26,25,Final
Arizona State,Colorado,16,40,Final
Nevada,San Jose State,10,14,Final
UCLA,Washington St.,21,27,Final
