Away ,Home,away_score,home_score,time
Houston,Cincinnati,40,16,Final
Baylor,Rice,38,10,Final
Arkansas State,Utah State,20,34,Final
Arizona State,UTSA,32,28,Final
Alabama,Mississippi,48,43,Final
Florida State,Louisville,20,63,Final
Ohio State,Oklahoma,45,24,Final
Colorado,Michigan,28,45,Final
S. Carolina St.,Clemson,0,59,Final
USC,Stanford,10,27,Final
Portland State,Washington,3,41,Final
Georgia State,Wisconsin,17,23,Final
Texas,California,43,50,Final
Michigan State,Notre Dame,36,28,Final
North Dakota St.,Iowa,23,21,Final
Ohio,Tennessee,19,28,Final
Georgia,Missouri,28,27,Final
Texas A&M;,Auburn,29,16,Final
Mississippi St.,LSU,20,23,Final
Oregon,Nebraska,32,35,Final
North Texas,Florida,0,32,Final
Texas State,Arkansas,3,42,Final
Miami (Fla.),Appalachian St.,45,10,Final
Middle Tenn.,Bowling Green,41,21,Final
New Mexico,Rutgers,28,37,Final
Temple,Penn State,27,34,Final
Iowa State,TCU,20,41,Final
Kansas,Memphis,7,43,Final
Akron,Marshall,65,38,Final
Vanderbilt,Georgia Tech,7,38,Final
Virginia,Connecticut,10,13,Final
Idaho,Washington St.,6,56,Final
N.C. A&T;,Tulsa,21,58,Final
Coastal Caro.,Jacksonville St.,26,27,Final
Florida Atlantic,Kansas State,7,63,Final
UNLV,Cent. Michigan,21,44,Final
Fresno State,Toledo,17,52,Final
Eastern Kentucky,Ball State,14,41,Final
James Madison,North Carolina,28,56,Final
San Diego State,Northern Ill.,42,28,Final
Monmouth,Kent State,7,27,Final
South Florida,Syracuse,45,20,Final
Boston College,Virginia Tech,0,49,Final
Western Ky.,Miami (Ohio),31,24,Final
FIU,Massachusetts,13,21,Final
Pittsburgh,Oklahoma State,38,45,Final
East Carolina,South Carolina,15,20,Final
Western Mich.,Illinois,34,10,Final
Northern Colo.,Colorado State,21,47,Final
UC Davis,Wyoming,22,45,Final
New Mexico St.,Kentucky,42,62,Final
Idaho State,Oregon State,7,37,Final
Old Dominion,NC State,22,49,Final
La.-Monroe,Ga. Southern,21,23,Final
Eastern Mich.,Charlotte,37,19,Final
Delaware,Wake Forest,21,38,Final
Navy,Tulane,21,14,Final
Army West Point,UTEP,66,14,Final
MD,UCF,30,24,Final (2OT)
South Alabama,La.-Lafayette,23,28,Final
Louisiana Tech,Texas Tech,45,59,Final
Liberty,SMU,14,29,Final
Troy,Southern Miss,37,31,Final
Duke,Northwestern,13,24,Final
Buffalo,Nevada,14,38,Final
UCLA,BYU,17,14,Final
Utah,San Jose State,34,17,Final
Hawaii,Arizona,28,47,Final
