Away ,Home,away_score,home_score,time
Virginia Tech,Pittsburgh,39,36,Final
Ohio,Toledo,31,26,Final
Akron,Buffalo,20,41,Final
Appalachian St.,Ga. Southern,34,10,Final
California,USC,24,45,Final
Navy,South Florida,45,52,Final
San Diego State,Utah State,40,13,Final
Air Force,Fresno State,31,21,Final
Michigan,Michigan State,32,23,Final
Clemson,Florida State,37,34,Final
Washington,Utah,31,24,Final
Louisville,Virginia,32,25,Final
Northwestern,Ohio State,20,24,Final
NEB,WISC,17,23,Final (OT)
Baylor,Texas,34,35,Final
New Mexico St.,Texas A&M;,10,52,Final
West Virginia,Oklahoma State,20,37,Final
Boise State,Wyoming,28,30,Final
Florida,Georgia,24,10,Final
Auburn,Mississippi,40,29,Final
Kansas,Oklahoma,3,56,Final
Tennessee,South Carolina,21,24,Final
Penn State,Purdue,62,24,Final
New Mexico,Hawaii,28,21,Final
UCF,Houston,24,31,Final
Connecticut,East Carolina,3,41,Final
Duke,Georgia Tech,35,38,Final
Kentucky,Missouri,35,21,Final
Minnesota,Illinois,40,17,Final
Kent State,Cent. Michigan,27,24,Final
Wagner,Massachusetts,10,34,Final
Kansas State,Iowa State,31,26,Final
Boston College,NC State,21,14,Final
Coastal Caro.,Presbyterian,48,17,Final
Army West Point,Wake Forest,21,13,Final
Maryland,Indiana,36,42,Final
TXTECH,TCU,27,24,Final (2OT)
Samford,Mississippi St.,41,56,Final
Cincinnati,Temple,13,34,Final
Miami (Fla.),Notre Dame,27,30,Final
Miami (Ohio),Eastern Mich.,28,15,Final
Western Ky.,Florida Atlantic,52,3,Final
SMU,Tulane,35,31,Final
Arizona State,Oregon,35,54,Final
Georgia State,South Alabama,10,13,Final
Rice,Louisiana Tech,16,61,Final
La.-Monroe,Arkansas State,10,51,Final
Marshall,Southern Miss,14,24,Final
Middle Tenn.,FIU,42,35,Final
North Texas,UTSA,17,31,Final
Tulsa,Memphis,59,30,Final
Old Dominion,UTEP,31,21,Final
UNLV,San Jose State,24,30,Final
Washington St.,Oregon State,35,31,Final
Stanford,Arizona,34,10,Final
