Away ,Home,away_score,home_score,time
Clemson,Georgia Tech,26,7,Final
USC,Utah,27,31,Final
Wyoming,Eastern Mich.,24,27,Final
TCU,SMU,33,3,Final
Kent State,Alabama,0,48,Final
Louisville,Marshall,59,28,Final
Penn State,Michigan,10,49,Final
Houston,Texas State,64,3,Final
Stanford,UCLA,22,13,Final
Wisconsin,Michigan State,30,6,Final
WASH,ARIZ,35,28,Final (OT)
Arkansas,Texas A&M;,24,45,Final
Georgia,Mississippi,14,45,Final
Florida State,South Florida,55,35,Final
Florida,Tennessee,28,38,Final
Oklahoma State,Baylor,24,35,Final
LSU,Auburn,13,18,Final
Nebraska,Northwestern,24,13,Final
Colorado State,Minnesota,24,31,Final
Charlotte,Temple,20,48,Final
San Jose State,Iowa State,10,44,Final
Nevada,Purdue,14,24,Final
Iowa,Rutgers,14,7,Final
Cent. Michigan,Virginia,35,49,Final
East Carolina,Virginia Tech,17,54,Final
Syracuse,Connecticut,31,24,Final
Wagner,Boston College,10,42,Final
Gardner-Webb,Ohio,21,37,Final
Mississippi St.,Massachusetts,47,35,Final
Wake Forest,Indiana,33,28,Final
Western Illinois,Northern Ill.,28,23,Final
BYU,West Virginia,32,35,Final
Miami (Ohio),Cincinnati,20,27,Final
Boise State,Oregon State,38,24,Final
UTSA,Old Dominion,19,33,Final
Appalachian St.,Akron,45,38,Final
Duke,Notre Dame,38,35,Final
Pittsburgh,North Carolina,36,37,Final
Delaware State,Missouri,0,79,Final
VANDY,W KY,31,30,Final (OT)
TULSA,FRESNO,48,41,Final (2OT)
Colorado,Oregon,41,38,Final
NO TEX,RICE,42,35,Final (2OT)
Ball State,Florida Atlantic,31,27,Final
Furman,Coastal Caro.,21,41,Final
NICHST,S ALA,40,41,Final (OT)
Louisiana Tech,Middle Tenn.,34,38,Final
ARMY,BUFF,20,23,Final (OT)
UCF,FIU,53,14,Final
New Mexico St.,Troy,6,52,Final
Central Ark.,Arkansas State,28,23,Final
Ga. Southern,Western Mich.,31,49,Final
Missouri State,Kansas State,0,35,Final
South Carolina,Kentucky,10,17,Final
Bowling Green,Memphis,3,77,Final
Southern Miss,UTEP,34,7,Final
ULL,TULANE,39,41,Final (4OT)
IDAHO,UNLV,33,30,Final (OT)
California,Arizona State,41,51,Final
Air Force,Utah State,27,20,Final
