Away ,Home,away_score,home_score,time
Connecticut,Houston,14,42,Final
Kansas,Texas Tech,19,55,Final
Stanford,Washington,6,44,Final
Toledo,BYU,53,55,Final
Kentucky,Alabama,6,34,Final
Rutgers,Ohio State,0,58,Final
Louisville,Clemson,36,42,Final
Wisconsin,Michigan,7,14,Final
Texas A&M;,South Carolina,24,13,Final
Tennessee,Georgia,34,31,Final
North Carolina,Florida State,37,35,Final
Baylor,Iowa State,45,42,Final
Miami (Fla.),Georgia Tech,35,21,Final
Illinois,Nebraska,16,31,Final
Memphis,Mississippi,28,48,Final
MICHST,IND,21,24,Final (OT)
Utah,California,23,28,Final
San Diego State,South Alabama,24,42,Final
Alcorn State,Arkansas,10,52,Final
Oklahoma,TCU,52,46,Final
Texas,Oklahoma State,31,49,Final
Florida,Vanderbilt,13,6,Final
Utah State,Boise State,10,21,Final
Nevada,Hawaii,17,38,Final
Notre Dame,Syracuse,50,33,Final
Northwestern,Iowa,38,31,Final
UCF,East Carolina,47,29,Final
Georgia State,Appalachian St.,3,17,Final
SMU,Temple,20,45,Final
Virginia,Duke,34,20,Final
Buffalo,Boston College,3,35,Final
Oregon State,Colorado,6,47,Final
Ohio,Miami (Ohio),17,7,Final
Eastern Mich.,Bowling Green,28,25,Final
Purdue,Maryland,7,50,Final
Navy,Air Force,14,28,Final
Tulane,Massachusetts,31,24,Final
Northern Ill.,Ball State,31,24,Final
Kansas State,West Virginia,16,17,Final
La.-Monroe,Auburn,7,58,Final
Wake Forest,NC State,16,33,Final
MINN,PENNST,26,29,Final (OT)
Akron,Kent State,31,27,Final
San Jose State,New Mexico,41,48,Final
Troy,Idaho,34,13,Final
Old Dominion,Charlotte,52,17,Final
CHARSO,CO CAR,59,58,Final (2OT)
Middle Tenn.,North Texas,30,13,Final
Florida Atlantic,FIU,31,33,Final
UTEP,Louisiana Tech,7,28,Final
Houston Baptist,Western Ky.,3,50,Final
Rice,Southern Miss,28,44,Final
South Florida,Cincinnati,45,20,Final
Western Mich.,Cent. Michigan,49,10,Final
Incarnate Word,Texas State,17,48,Final
Marshall,Pittsburgh,27,43,Final
Missouri,LSU,7,42,Final
ULL,NM ST,31,37,Final (2OT)
Arizona State,USC,20,41,Final
Oregon,Washington St.,33,51,Final
Wyoming,Colorado State,38,17,Final
Fresno State,UNLV,20,45,Final
Arizona,UCLA,24,45,Final
