Away ,Home,away_score,home_score,time
Louisville,Syracuse,62,28,Final
Maryland,FIU,41,14,Final
Western Ky.,Alabama,10,38,Final
Troy,Clemson,24,30,Final
Charleston So.,Florida State,8,52,Final
Tulsa,Ohio State,3,48,Final
UCF,Michigan,14,51,Final
Lamar,Houston,0,42,Final
Idaho,Washington,14,59,Final
Nicholls State,Georgia,24,26,Final
Akron,Wisconsin,10,54,Final
UTEP,Texas,7,41,Final
La.-Monroe,Oklahoma,17,59,Final
ARK,TCU,41,38,Final
Iowa State,Iowa,3,42,Final
Virginia Tech,Tennessee,24,45,Final
Nevada,Notre Dame,10,39,Final
Wofford,Mississippi,13,38,Final
Prairie View A&M;,Texas A&M;,0,67,Final
Jacksonville St.,LSU,13,34,Final
Cent. Michigan,Oklahoma State,30,27,Final
SMU,Baylor,13,40,Final
Virginia,Oregon,26,44,Final
Florida Atlantic,Miami (Fla.),10,38,Final
Tennessee-Martin,Hawaii,36,41,Final
Rice,Army West Point,14,31,Final
Howard,Rutgers,14,52,Final
Penn State,Pittsburgh,39,42,Final
Cincinnati,Purdue,38,20,Final
Indiana State,Minnesota,28,58,Final
Wyoming,Nebraska,17,52,Final
Boston College,Massachusetts,26,7,Final
NC State,East Carolina,30,33,Final
Stony Brook,Temple,0,38,Final
Georgia State,Air Force,14,48,Final
Youngstown St.,West Virginia,21,38,Final
Utah State,USC,7,45,Final
Ohio,Kansas,37,21,Final
Mercer,Georgia Tech,10,35,Final
Eastern Illinois,Miami (Ohio),21,17,Final
Old Dominion,Appalachian St.,7,31,Final
Illinois State,Northwestern,9,7,Final
Wake Forest,Duke,24,14,Final
Connecticut,Navy,24,28,Final
North Dakota,Bowling Green,26,27,Final
Kentucky,Florida,7,45,Final
Ball State,Indiana,20,30,Final
UTSA,Colorado State,14,23,Final
Middle Tenn.,Vanderbilt,24,47,Final
Portland State,San Jose State,35,66,Final
Idaho State,Colorado,7,56,Final
Elon,Charlotte,14,47,Final
NC A&T;,KENT,39,36,Final
Morgan State,Marshall,0,62,Final
S. Carolina St.,Louisiana Tech,24,53,Final
Bethune-Cookman,North Texas,20,41,Final
Maine,Toledo,3,45,Final
Florida A&M;,Coastal Caro.,10,49,Final
Northern Ill.,South Florida,17,48,Final
Ga. Southern,South Alabama,24,9,Final
N.C. Central,Western Mich.,21,70,Final
McNeese State,La.-Lafayette,22,30,Final
South Carolina,Mississippi St.,14,27,Final
Savannah State,Southern Miss,0,56,Final
Arkansas State,Auburn,14,51,Final
BYU,Utah,19,20,Final
North Carolina,Illinois,48,23,Final
Eastern Mich.,Missouri,21,61,Final
UNLV,UCLA,21,42,Final
New Mexico,New Mexico St.,31,32,Final
Southern Univ.,Tulane,21,66,Final
Texas Tech,Arizona State,55,68,Final
Sacramento St.,Fresno State,3,31,Final
Washington St.,Boise State,28,31,Final
California,San Diego State,40,45,Final
Grambling,Arizona,21,31,Final
