Away ,Home,away_score,home_score,time
BYU,Boise State,27,28,Final
Miami (Fla.),Virginia Tech,16,37,Final
Troy,South Alabama,28,21,Final
South Florida,Temple,30,46,Final
OREGN,CAL,49,52,Final (2OT)
San Jose State,San Diego State,3,42,Final
Texas A&M;,Alabama,14,33,Final
Ohio State,Penn State,21,24,Final
Illinois,Michigan,8,41,Final
Oregon State,Washington,17,41,Final
NC State,Louisville,13,54,Final
Purdue,Nebraska,14,27,Final
Wisconsin,Iowa,17,9,Final
Houston,SMU,16,38,Final
TCU,West Virginia,10,34,Final
Oklahoma,Texas Tech,66,59,Final
Arkansas,Auburn,3,56,Final
Utah,UCLA,52,45,Final
Eastern Mich.,Western Mich.,31,45,Final
North Carolina,Virginia,35,14,Final
Mississippi,LSU,21,38,Final
Memphis,Navy,28,42,Final
Rutgers,Minnesota,32,34,Final
Massachusetts,South Carolina,28,34,Final
Oklahoma State,Kansas,44,20,Final
Indiana,Northwestern,14,24,Final
Miami (Ohio),Bowling Green,40,26,Final
UCF,Connecticut,24,16,Final
North Texas,Army West Point,35,18,Final
Texas,Kansas State,21,24,Final
Cent. Michigan,Toledo,17,31,Final
Syracuse,Boston College,28,20,Final
Ohio,Kent State,14,10,Final
HAWAII,AIRFOR,34,27,Final (2OT)
Cent. Conn. St.,Coastal Caro.,25,33,Final
Colorado,Stanford,10,5,Final
Akron,Ball State,35,25,Final
Buffalo,Northern Ill.,7,44,Final
Tennessee-Martin,Georgia State,6,31,Final
Prairie View A&M;,Rice,44,65,Final
Idaho,Appalachian St.,19,37,Final
Tulane,Tulsa,27,50,Final
Middle Tenn.,Missouri,51,45,Final
Charlotte,Marshall,27,24,Final
Colorado State,UNLV,42,23,Final
La.-Lafayette,Texas State,27,3,Final
East Carolina,Cincinnati,19,31,Final
Louisiana Tech,FIU,44,24,Final
UTEP,UTSA,52,49,Final (5OT)
Old Dominion,Western Ky.,24,59,Final
Michigan State,Maryland,17,28,Final
Tennessee State,Vanderbilt,17,35,Final
Mississippi St.,Kentucky,38,40,Final
Ga. Southern,New Mexico St.,22,19,Final
La.-Monroe,New Mexico,17,59,Final
Washington St.,Arizona State,37,32,Final
Wyoming,Nevada,42,34,Final
Fresno State,Utah State,20,38,Final
