Away ,Home,away_score,home_score,time
Ga. Southern,Arkansas State,26,27,Final
Temple,Memphis,27,34,Final
Western Ky.,Louisiana Tech,52,55,Final
Clemson,Boston College,56,10,Final
Boise State,New Mexico,49,21,Final
SMU,TULSA,40,43,Final (OT)
Massachusetts,Old Dominion,16,36,Final
Tulane,UCF,,,postponed
Alabama,Arkansas,49,30,Final
Indiana,Ohio State,17,38,Final
Michigan,Rutgers,78,0,Final
Washington,Oregon,70,21,Final
Houston,Navy,40,46,Final
TENN,TX A&M;,38,45,Final (2OT)
Florida State,Miami (Fla.),20,19,Final
Washington St.,Stanford,42,16,Final
Virginia Tech,North Carolina,34,3,Final
Oklahoma,Texas,45,40,Final
Colorado,USC,17,21,Final
Arizona,Utah,23,36,Final
Cincinnati,Connecticut,9,20,Final
Iowa,Minnesota,14,7,Final
Maryland,Penn State,14,38,Final
East Carolina,South Florida,22,38,Final
Auburn,Mississippi St.,38,14,Final
Southern Miss,UTSA,32,55,Final
Notre Dame,NC State,3,10,Final
TCU,Kansas,24,23,Final
Georgia Tech,Pittsburgh,34,37,Final
Bowling Green,Ohio,24,30,Final
Toledo,Eastern Mich.,35,20,Final
Miami (Ohio),Akron,13,35,Final
Air Force,Wyoming,26,35,Final
PURDUE,ILL,34,31,Final (OT)
Kent State,Buffalo,44,20,Final
Texas State,Georgia State,21,41,Final
Iowa State,Oklahoma State,31,38,Final
Ball State,Cent. Michigan,21,24,Final
BYU,Michigan State,31,14,Final
Army West Point,Duke,6,13,Final
Vanderbilt,Kentucky,13,20,Final
Hawaii,San Jose State,34,17,Final
Northern Ill.,Western Mich.,30,45,Final
Texas Tech,Kansas State,38,44,Final
Marshall,North Texas,21,38,Final
Fresno State,Nevada,22,27,Final
Idaho,La.-Monroe,34,31,Final
Syracuse,Wake Forest,9,28,Final
FIU,UTEP,35,21,Final
CAL,ORE ST,44,47,Final (OT)
Utah State,Colorado State,24,31,Final
UCLA,Arizona State,20,23,Final
UNLV,San Diego State,7,26,Final
LSU,Florida,,,postponed
Charlotte,Florida Atlantic,28,23,Final
Georgia,South Carolina,28,14,Final
