Away ,Home,away_score,home_score,time
Hawaii,California,31,51,Final
APP ST,TENN,13,20,Final (OT)
Charlotte,Louisville,14,70,Final
Tulane,Wake Forest,3,7,Final
Tennessee-Martin,Cincinnati,7,28,Final
Presbyterian,Cent. Michigan,3,49,Final
Maine,Connecticut,21,24,Final
William &amp; Mar,NC State,14,48,Final
Indiana,FIU,34,13,Final
Weber State,Utah State,6,45,Final
Southern Utah,Utah,0,24,Final
Rice,Western Ky.,14,46,Final
South Carolina,Vanderbilt,13,10,Final
Oregon State,Minnesota,23,30,Final
South Dakota,New Mexico,21,48,Final
Montana State,Idaho,17,20,Final
Jackson State,UNLV,13,63,Final
Kansas State,Stanford,13,26,Final
Furman,Michigan State,13,28,Final
N'western St.,Baylor,7,55,Final
Miss. Valley St.,Eastern Mich.,14,61,Final
Albany,Buffalo,22,16,Final
Ball State,Georgia State,31,21,Final
Colgate,Syracuse,7,33,Final
Army West Point,Temple,28,13,Final
Colorado State,Colorado,7,44,Final
Toledo,Arkansas State,31,10,Final
CALPLY,NEVADA,27,30,Final (OT)
USC,Alabama,6,52,Final
Clemson,Auburn,19,13,Final
Oklahoma,Houston,23,33,Final
LSU,Wisconsin,14,16,Final
Bowling Green,Ohio State,10,77,Final
Hawaii,Michigan,3,63,Final
South Dakota St.,TCU,41,59,Final
Rutgers,Washington,13,48,Final
UCLA,TX A&M;,24,31,Final (OT)
Miami (Ohio),Iowa,21,45,Final
North Carolina,Georgia,24,33,Final
Southeastern La.,Oklahoma State,7,61,Final
UC Davis,Oregon,28,53,Final
Massachusetts,Florida,7,24,Final
Georgia Tech,Boston College,17,14,Final
Howard,Maryland,13,52,Final
Eastern Kentucky,Purdue,24,45,Final
Missouri,West Virginia,11,26,Final
South Alabama,Mississippi St.,21,20,Final
Western Mich.,Northwestern,22,21,Final
Boise State,La.-Lafayette,45,10,Final
Fordham,Navy,16,52,Final
Liberty,Virginia Tech,13,36,Final
Villanova,Pittsburgh,7,28,Final
Abilene Christian,Air Force,21,37,Final
Richmond,Virginia,37,20,Final
Kent State,Penn State,13,33,Final
Murray State,Illinois,3,52,Final
TX ST,OHIO,56,54,Final (3OT)
Louisiana Tech,Arkansas,20,21,Final
Austin Peay,Troy,17,57,Final
Florida A&M;,Miami (Fla.),3,70,Final
Savannah State,Ga. Southern,0,54,Final
Western Caro.,East Carolina,7,52,Final
Southern Ill.,Florida Atlantic,30,38,Final
N.C. Central,Duke,6,49,Final
VMI,Akron,24,47,Final
Towson,South Florida,20,56,Final
Alabama A&M;,Middle Tenn.,0,55,Final
SMU,North Texas,34,21,Final
S. Carolina St.,UCF,0,38,Final
Southern Univ.,La.-Monroe,21,38,Final
Southeast Mo. St.,Memphis,17,35,Final
Alabama State,UTSA,13,26,Final
San Jose State,Tulsa,10,45,Final
Rhode Island,Kansas,6,55,Final
Southern Miss,Kentucky,44,35,Final
New Mexico St.,UTEP,22,38,Final
Fresno State,Nebraska,10,43,Final
Eastern Wash.,Washington St.,45,42,Final
Coastal Caro.,Lamar,38,14,Final
Steph. F. Austin,Texas Tech,17,69,Final
UNI,Iowa State,25,20,Final
New Hampshire,San Diego State,0,31,Final
Arizona,BYU,16,18,Final
NIU,WYO,34,40,Final (3OT)
Northern Ariz.,Arizona State,13,44,Final
N DAME,TEXAS,47,50,Final (2OT)
Hampton,Old Dominion,21,54,Final
Mississippi,Florida State,34,45,Final
